service_date,gtfs_route_id,gtfs_route_desc,route_category,mode_type,otp_numerator,otp_denominator,cancelled_numerator,month,route_short_name,route_long_name
2022-08-23,83,Local Bus,Other Bus,Bus,89,114,0,22Aug,83,"Rindge Avenue - Central Square, Cambridge"
2022-08-23,80,Local Bus,Other Bus,Bus,289,347,0,22Aug,80,Arlington Center - Lechmere Station
2022-08-23,80,Local Bus,Other Bus,Bus,129,154,0,22Aug,80,Arlington Center - Lechmere Station
2022-08-23,8,Local Bus,Other Bus,Bus,315,582,0,22Aug,8,Harbor Point - Kenmore Station
2022-08-23,8,Local Bus,Other Bus,Bus,118,218,0,22Aug,8,Harbor Point - Kenmore Station
2022-08-23,78,Local Bus,Other Bus,Bus,334,401,0,22Aug,78,Arlmont Village - Harvard Station
2022-08-23,78,Local Bus,Other Bus,Bus,114,145,0,22Aug,78,Arlmont Village - Harvard Station
2022-08-23,77,Key Bus Route (Frequent Service),Key Bus,Bus,269,336,0,22Aug,77,Arlington Heights - Harvard Station
2022-08-23,77,Key Bus Route (Frequent Service),Key Bus,Bus,776,988,0,22Aug,77,Arlington Heights - Harvard Station
2022-08-23,76,Local Bus,Other Bus,Bus,73,95,0,22Aug,76,Lincoln Lab - Alewife Station
2022-08-23,76,Local Bus,Other Bus,Bus,62,74,0,22Aug,76,Lincoln Lab - Alewife Station
2022-08-23,751,Rapid Transit,Silver Line,Bus,488,592,0,22Aug,SL4,Nubian Station - South Station
2022-08-23,751,Rapid Transit,Silver Line,Bus,212,253,0,22Aug,SL4,Nubian Station - South Station
2022-08-23,75,Local Bus,Other Bus,Bus,122,150,0,22Aug,75,Belmont Center - Harvard via Huron Avenue
